match_id,player1,player2,elapsed_time,game_no,point_no,p1_games,p2_games,server,point_victor,p1_points_won,p2_points_won,momentum,momentum2
,,,00:58:09,5,14,1,3,1,1,11,3,21,0.4444444444444444
,,,01:01:10,6,1,2,3,2,2,0,1,0,0.6666666666666666
,,,01:01:24,6,2,2,3,2,2,0,2,-1,0.6666666666666666
,,,01:01:42,6,3,2,3,1,1,1,2,-2,0.6666666666666666
,,,01:02:06,6,4,2,3,1,2,1,3,-1,0.6666666666666666
,,,01:02:30,6,5,2,3,2,1,2,3,-2,0.6666666666666666
,,,01:02:57,6,6,2,3,2,2,2,4,-1,0.6666666666666666
,,,01:03:31,6,7,2,3,1,2,2,5,-2,0.6666666666666666
,,,01:05:08,6,8,2,3,1,1,3,5,-3,0.6666666666666666
,,,01:05:37,6,9,2,3,2,2,3,6,-2,0.6666666666666666
,,,01:05:58,6,10,2,3,2,1,4,6,-3,0.6666666666666666
,,,01:06:31,6,11,2,3,1,2,4,7,-2,0.6666666666666666
,,,01:06:59,6,12,2,3,1,2,4,8,-3,0.6666666666666666
,,,01:07:38,6,13,2,3,2,1,5,8,-4,0.6666666666666666
,,,01:08:06,6,14,2,3,2,2,5,9,-3,0.6666666666666666
,,,01:08:36,6,15,2,3,1,1,6,9,-4,0.6666666666666666
,,,01:08:59,6,16,2,3,1,2,6,10,-3,0.6666666666666666
,,,01:09:27,6,17,2,3,2,1,7,10,-4,0.6666666666666666
,,,01:09:56,6,18,2,3,2,2,7,11,-3,0.6666666666666666
